objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
812102,Newham,Newham,Alder,Alder,Alnus cordata,Italian alder,,,,,,,,0.06107225,51.51122747,,20180214,20210715
812103,Newham,Newham,Alder,Alder,Alnus cordata,Italian alder,,,,,,,,0.06104891,51.51118921,,20180214,20210715
812104,Newham,Newham,Ash,Ash,Fraxinus oxycarpa raywood,Ash ,,,,,,,,0.06036158,51.51122377,,20180214,20210715
812105,Newham,Newham,Other,Other,Rhus typhina,Sumach,,,,,,,,0.06036238,51.51114552,,20180214,20210715
812106,Newham,Newham,Maple,Maple,Acer platanoides ukn variety,Maple,,,,,,,,0.06032618,51.51082242,,20180214,20210715
812107,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.05958615,51.51080664,,20180214,20210715
812108,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.06102651,51.51222557,,20180214,20210715
812109,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.06138482,51.51186226,,20180214,20210715
812110,Newham,Newham,Lime,Lime,Tilia euchlora,Lime,,,,,,,,0.0588958,51.51000672,,20180214,20210715
812111,Newham,Newham,Cherry,Cherry,Prunus x schmittii,Cherry,,,,,,,,0.05906602,51.50969078,,20180214,20210715
812112,Newham,Newham,Cherry,Cherry,Prunus kanzan,Cherry,,,,,,,,0.05908064,51.5095997,,20180214,20210715
812113,Newham,Newham,Maple,Maple,Acer platanoides,Maple,,,,,,,,0.0588731,51.50963122,,20180214,20210715
812114,Newham,Newham,Lime,Lime,Tilia tomentosa,Silver lime,,,,,,,,0.05790906,51.50985677,,20180214,20210715
812115,Newham,Newham,Ash,Ash,Fraxinus oxycarpa raywood,Ash ,,,,,,,,0.05878378,51.50963189,,20180214,20210715
812116,Newham,Newham,Ash,Ash,Fraxinus oxycarpa raywood,Ash ,,,,,,,,0.05866159,51.50963853,,20180214,20210715
812117,Newham,Newham,Maple,Maple,Acer campestre,Maple,,,,,,,,0.05818395,51.5096568,,20180214,20210715
812118,Newham,Newham,Maple,Maple,Acer campestre,Maple,,,,,,,,0.05840638,51.50963581,,20180214,20210715
812119,Newham,Newham,Lime,Lime,Tilia tomentosa,Silver lime,,,,,,,,0.05776129,51.50983958,,20180214,20210715
812120,Newham,Newham,Lime,Lime,Tilia tomentosa,Silver lime,,,,,,,,0.05776068,51.50988995,,20180214,20210715
812121,Newham,Newham,Lime,Lime,Tilia tomentosa,Silver lime,,,,,,,,0.05785034,51.50992884,,20180214,20210715
812122,Newham,Newham,Lime,Lime,Tilia x europaea,Lime,,,,,,,,0.05792997,51.50996881,,20180214,20210715
812123,Newham,Newham,Lime,Lime,Tilia euchlora,Lime,,,,,,,,0.05808423,51.51000208,,20180214,20210715
812124,Newham,Newham,Lime,Lime,Tilia tomentosa,Silver lime,,,,,,,,0.05766686,51.50991857,,20180214,20210715
